Step,Temperature_K,Time_s,Rate,X_i,X_active,f_norm
Step_2_rxn,1023.15,115.20000000000005,0.003966570871776485,0.9560252071595606,0.9560252071595606,0.6421266206415062
Step_2_rxn,1023.15,118.80000000000007,0.003790011836712857,0.9712960453343095,,
Step_2_rxn,1023.15,122.40000000000008,0.0036450875893009327,0.9859339605625655,,
Step_2_rxn,1023.15,126.00000000000009,0.0034995364993586405,1.0,,
Step_2_rxn,1073.15,21.000000000000007,0.004004084816099278,0.0,,
Step_2_rxn,1073.15,23.999999999999993,0.00513855583848976,0.015139339313015471,,
Step_2_rxn,1073.15,26.999999999999993,0.006763624458212285,0.034848212589798526,0.034848212589798526,0.6367699868807298
Step_2_rxn,1073.15,30.0,0.008664957443557404,0.06039646996468513,0.06039646996468513,0.8157733877369207
Step_2_rxn,1073.15,32.999999999999986,0.010621760180068404,0.09233343143673277,0.09233343143673277,0.9999990585373407
Step_2_rxn,1073.15,36.00000000000001,0.012414667716453016,0.1304795548228907,0.1304795548228907,1.1687946082423208
Step_2_rxn,1073.15,38.99999999999999,0.013774343649418482,0.1738460551940211,0.1738460551940211,1.2968030202033403
Step_2_rxn,1073.15,42.000000000000014,0.014663426967097147,0.2209362860074828,0.2209362860074828,1.380506894661763
Step_2_rxn,1073.15,45.0,0.01495130656712612,0.2699754549497841,0.2699754549497841,1.4076096840413688
Step_2_rxn,1073.15,48.000000000000014,0.01490120406953931,0.31940836005330425,0.31940836005330425,1.4028927209798985
Step_2_rxn,1073.15,51.00000000000001,0.014658718208374898,0.3683567667925633,0.3683567667925633,1.380063582610907
Step_2_rxn,1073.15,54.00000000000002,0.014212355705669581,0.41616450646310166,0.41616450646310166,1.338040219730875
Step_2_rxn,1073.15,57.000000000000014,0.013594811650597416,0.4622105185339171,0.4622105185339171,1.2799007528997268
Step_2_rxn,1073.15,60.000000000000014,0.01295313211946128,0.5061713766691471,0.5061713766691471,1.2194890211207585
Step_2_rxn,1073.15,63.00000000000003,0.012126717025300002,0.5477012103864116,0.5477012103864116,1.1416851258988459
Step_2_rxn,1073.15,66.00000000000001,0.011283500590038562,0.5864662938300279,0.5864662938300279,1.0622994471497684
Step_2_rxn,1073.15,69.0,0.010495956261251858,0.6225309932732203,0.6225309932732203,0.9881550893416396
Step_2_rxn,1073.15,72.00000000000003,0.009668827931381456,0.6559219490812426,0.6559219490812426,0.9102840456409865
Step_2_rxn,1073.15,75.00000000000003,0.008850582822503675,0.6865883236958291,0.6865883236958291,0.8332493240262028
Step_2_rxn,1073.15,78.00000000000003,0.008074558405720363,0.7146147403138965,0.7146147403138965,0.7601895229170137
Step_2_rxn,1073.15,81.0,0.007354693879708595,0.740164107780065,0.740164107780065,0.6924169658188962
Step_2_rxn,1073.15,84.00000000000003,0.006708172064112334,0.7634508700274791,0.7634508700274791,0.6315493510394454
Step_2_rxn,1073.15,87.00000000000004,0.006144412622906914,0.784733522160196,0.784733522160196,0.5784735047682367
Step_2_rxn,1073.15,90.00000000000006,0.005635718768878672,0.8042402941126332,0.8042402941126332,0.5305818779108982
Step_2_rxn,1073.15,93.00000000000004,0.005190048170616629,0.8221667297249067,0.8221667297249067,0.4886236552505795
Step_2_rxn,1073.15,96.00000000000001,0.004785149353623256,0.838684703660371,0.838684703660371,0.45050394355194384
Step_2_rxn,1073.15,99.00000000000004,0.004429086945207685,0.8539425985190394,0.8539425985190394,0.4169819973622478
Step_2_rxn,1073.15,102.00000000000006,0.004164643092122498,0.8681729943001852,0.8681729943001852,0.3920855960466354
Step_2_rxn,1073.15,105.00000000000006,0.003953014403726996,0.8816150594430193,0.8816150594430193,0.3721615452709351
Step_2_rxn,1073.15,108.00000000000004,0.003826874624290536,0.8944978122780708,0.8944978122780708,0.36028595605199687
Step_2_rxn,1073.15,111.00000000000006,0.0037492300603014176,0.9070431177127095,0.9070431177127095,0.3529760102828051
Step_2_rxn,1073.15,114.00000000000004,0.003680977174533133,0.9193468309115566,0.9193468309115566,0.3465502559489032
Step_2_rxn,1073.15,117.00000000000006,0.003614685862709988,0.9314277517753564,0.9314277517753564,0.34030917647727804
Step_2_rxn,1073.15,120.00000000000006,0.0035511943102480483,0.9432937646171023,0.9432937646171023,0.33433168389500767
